document_id,cleaned_review,sentiment
41,never liked imdb top list havent thought one long time watched shawshank immediately became fan somewhere read godfather top shawshank thats decided take chance godfather wasnt fan gangster flick fair say never thought id sit hour minute say film changed every thing taste movie watching ended fan gangster movie went watch pretty old movie longest running film fan imdbs go movie th timeyesterday compelled write review hereim gonna say anything new review anyone reading guess probably watched movie inspired enough read review give thump opinion greatest gangster film ever arguably greatest movie time,positive
42,contains good actor effect sound music direction film considered best film time watch think good great think movie like imdb metacritic rt great film watch multiple time like music wouldnt say bad say dont think worth imdb lot reward movie got still love little overrated hope helpful godfather,positive
43,corleone family face threat life business one greatest movie time recently watched th anniversary theatrical release epic cinema experience speaks volume watched multiple time minute still fly little say already covered reviewer movie designed entertainment whilst others artistic expression godfather incredibly well every scene beautifully shot great visual storytelling combine form compelling plot unforgettable presentation character often regarded greatest opening scene character establishment movie history hard disagree another great aspect shot framing al pacino change character michael develops throughout story also shot diane keaton place character kay outside family numerous situation course famous baptism fire sequence despite incredibly dark subject matter truly amazing piece filmmaking pacino marlon brando james caan robert duvall john cazale talia shire richard castellano brilliant along rest cast portray character never like million year cannot help another golden era hollywood filmmaking godfather one best produced,positive
44,film contains element genuine masterpiece attention detail history tradition absolutely wonderful screenplay comparative closeness novel storyline became template future story genre performance one single character flaw entire cast continues amaze film fact correct actor actress chosen role chosen perfect point respective career throughout film one actor actress seems old young part anyone including extremely strong diane keaton seem place unconvincing plot storyline could better one film matter many time youve seen still continues amaze entertain way inform like classic preceded hold well time probably continue currently vhs godfather saga first movie woven together chronological order absolutely amazing begin birth vito end eventual rise michael although francis ford coppola like version epic sure wish would release dvd,positive
45,movie often considered best ever life hype everyone see movie point hollywood best money advice taken mob classic,positive
46,movie strong good script great casting excellent acting top directing every single aspect godfather outstanding hard fine movie done well year old aged well hollywood best money advice taken mob classic,positive
47,immortal contribution cinema one prime example filmmaking art godfather remarkable insideout look life mafia family also paint astounding portrait organised crime scoring full mark aspect filmmaking direction screenplay acting cinematography editing music crime drama immerses viewer world beginning narrates story strong magnetic grip next three hour impossible impressed amazed even many viewing nothing complain classic weakness exploit view respect motion picture masterpiece get higher based novel name mario puzo godfather tell story corleone family respectable powerful family major underworld influence overseen vito corleone termed godfather peer token respect corleone refuse enter drug business series event set motion result assassination attempt increasing rivalry among mafia family pave way don youngest son rise take father job order protect family settle dispute film revolves around michael corleone don youngest son even main plot story evolution michael doeeyed outsider didnt want get family business ruthless bos later story direction francis ford coppola short amazement way filmed scene beginning end casting decision made chosen location shooting remarkable screenplay memorable quote cowritten mario puzo overall style narration look film brilliantly done cinematography carried beautifully decision shoot technicolor print pay enormously well provided film vintage look wonderfully matched timeline represented also added artistic flair whole medium editing precisely done character getting enough time onscreen without robbing expertly controlled pace nino rota score open film sad almost funerallike theme music boast track sound unusual crime drama also fit film ambiance remarkably well overall work entire technical crew much responsible film success direction writing performance far performance go godfather feature cast incredibly gifted actor marlon brando james caan al pacino robert duvall john cazale diane keaton richard castellano talia shire al lettieri many every one topnotch form marlon brando make corleone truly giving character set unique look trait delivers possibly greatest performance time also immortalised character corleone cinema forever permanently engraved brandos status one world finest actor al pacino also make mark big stage delivers next great performance michael corleone plus rise power reluctant outsider ruthless mafia bos remains one spectacular character arc ever exhibited film canvas james caan star sonny corleone don hotheaded eldest son dont recall caan delivering performance calibre go richard castellano play clemenza caporegime corleone family notable work include robert duvall tom hagen diane keaton kay adam talia shire connie corleone abe vigoda tessio al lettieri virgil sollozzo complains department either telling tale span ten year corleone family three hour also reflecting world organised crime immense character depth complexity unlike anything ingeniously blending impressive direction sturdy writing impeccable performance striking quote innovative storytelling mesmerizing score godfather exceptionally wellmade motion picture certainly one best cast ever since release become benchmark great masterpiece measured influence cinema especially gangster genre unprecedented overall scale godfather universally accepted one world cinema finest film arguably greatest ever performance marlon brando al pacino alone stuff legend plus film also mark significant moment cinema opinion baton passed marlon brando finest actor generation al pacino later became finest actor subsequent era film doesnt need recommendation must watch every cinema lover movie unanimously hailed great one critic filmmaker viewer around world godfather unquestionably one classic opinion one deserves top spot cinematic treasure neither refuse ignore godfather genre filmmaking perfect genuine complete crystalline pure one hundred percent recommended,positive
48,marlon brandos acting godfather sublime film worth watching however find film longwinded time boring liked slow progression storyline understand francis ford coppola film way felt film lacking something could done bit excitement suspense make film gripping let say watched film year ago still havent seen godfather hurry either average film worth watching say seen,neutral
49,superb movie remember watched college,positive
50,godfather used hold top spot imdbs top movie list sits number two behind frank darabonts emotionally manipulative crowdpleaser shawshank redemption become goto title people cant arsed think come naming favourite film people clearly arent showing godfather enough respect perhaps need taught lesson capiche opinion francis ford coppola sweeping mafia epic based mario puzas bestselling novel trump shawshank every way film boast superior cast headed marlon brando al pacino excellent support james caan robert duvall tom robbins morgan fairchild simply match coppola storytelling impeccable start finish drawing viewer film inextricably michael corleone pacino drawn sinister violent underworld sicilian organised crime darabont reasonable enough job papering shawshanks plot hole fails lend film sense style class evident every scene godfather nino rota score coppola movie sublime majestic piece music emotive note evoke entire genre cant even recall shawshanks score rather unsurprisingly shawshank redemption deal theme redemption close contrived feelgood ending godfather darker far complex dealing loyalty honour obligation destiny desire vengeance violence love hate trust doesnt sellout sappy happy ending closing instead michael embracing lifestyle sought avoid perfectamundo thats italian perfect possibly short godfather every department,neutral
51,godfather one iconic film cinema history three point film made stand alone direction acting writing direction film great france fran coppela really know make great film like steven spilberg peter jackson james cameron many others list one greatest director hollywood he role model acting terrible kidding acting amazing marlon brando carry anchor movie al pacino hold carefully cast movie good example cast chemistry great cast writing awesome coppela know writing script major blockbuster hit thats he role model godfather one favorite film time would recommend see movie awesome,positive
52,godfather dont already know corleone mafia family struggling survive war rival family thats simplistic summary get masterpiece there way describe simple line there already ton excellent wellthoughtout review imdb there really little add overwhelming praise film obviously one greatest movie time reputation welldeserved direction cast score script good get whole production flawless youre likely find film isnt thing would change one movie see least die,positive
53,one thing thats bit annoying seeing godfather sense viewer feel required bow film worship movie perfection else reveal person taste well definitely acknowledge good movie necessarily great personal favorite list starter definitely give great character atmosphere there really nothing movie couldnt get reading book fact strength film come way director actor faithfully bring novel life whats best question acting judged scale alone get cannot disagree state combine best acting performance american film history directing scriptwriting also good worthy least whats good pacing others noted film boring time notably least time spent showing mike sicily shot cop turk getting married doesnt really show much anything really contribute much story contrast book made particular subplot far interesting relevant heart problem ive seen movie ive read book far enjoyed latter book give sort detail movie skip example film al neri guy dressed cop performs one mike hit men book learn went good cop bad temper taking role held luca brasi another character developed far fully book one hand intellectually acknowledge great talent displayed making film must admit isnt satisfying emotionally character seem cold distant never really cared much respect much preferred goodfellas acting wasnt good character far engaging pacing much lively short godfather sort like great somber piece music something admire dance,positive
54,first always heard lot people younger godfather epic movie time always memorized vito corleones face kid year later decided time watch movie netflix oh good sharp chemistry make stuff actor always transcend transcend much vito corleone one best movie character ever performance actor gave one best performance time al pacino michael corleone arguably best performance ever cant say enough marlon brando need state obvious best reason would go forever godfather favourite movie time would word havent watched give try see masterpiece also make godfather special line hero villain one really call calm guy like vito corleone bad guy technically well good bla bla bla go mind challenge always saw vito hero godfather grew thought like antihero michael always anti hero opinion godfather give blend epic character fiction history ever let alone movie,positive
55,plot directing cinematography character acting music score theme emotion overall im gonna make offer cant refuse vito corleone,neutral
56,pouring alcohol injury counting number book available big library reading book watching weather channel hour looking needle haystack counting hay haystack sharpening pencil row seeing tortoise walk distance let say million mile get idea dont movie sloooooooooow story draaaaaaaaaaaags torture end wondered point mess movie seemed like also going tell u story michael son grandson great grandson great great grandson well seemed endless endless wondered imdb user praise much every single person know despises movie beyond dull end somehow michael got rid enemy minute simple made would kept suffering dreck watching never want watch one called classic like citizen kane casablanca schindlers list gone wind etc seems ba rule movie cant artistic entertaining movie combine thing true classic one example pulp fiction movie perfect every possible way ill rate movie dont give one marlon brando great way al pacino sucked movie couldnt inexpressive,positive
