review,cleaned_review
A flawless movie. This movie translates from the book perfectly!This movie made me want to be a director and create film. Everyone's acting was perfect. To think that Puza wrote this specifically to make a hit is at first crazy.,flawless movie movie translates book perfectlythis movie made want director create film everyones acting perfect think puza wrote specifically make hit first crazy
"This must rank as the best film (along with part 2)of all time.An ensemble performance that has no weak spot.

Particularly, John Cazale ( Fredo) and Richard Castellano ( Clemenza) give wonderfully understated performances. You just have to believe that Castellano WAS Clemenza, he brings a real touch to his role.

John Cazale brings the troubled Fredo to life, and you can see the weak Fredo desperately trying to live up to the family reputation but knowing that he can never be what his father wants.

The story of one man's reluctance to be drawn into the murky family business,and his gradual change through circumstance, paints a vivid picture of this violent period of US history.

Do not miss this film!",must rank best film along part timean ensemble performance weak spot particularly john cazale fredo richard castellano clemenza give wonderfully understated performance believe castellano clemenza brings real touch role john cazale brings troubled fredo life see weak fredo desperately trying live family reputation knowing never father want story one man reluctance drawn murky family businessand gradual change circumstance paint vivid picture violent period u history miss film
"The definition of perfect movie. As if (Marlon Brando) established what a mafia leader should be, with his hoarse voice and cold features, the actors after him were affected by the ghost of his great performance in the movie (The Godfather). Every stare from El Pacino in The Godfather has a story. And the music was. And the music was taking me into another world, making me feel like I am around a mafia gang, or as they say in the movie (the family).",definition perfect movie marlon brando established mafia leader hoarse voice cold feature actor affected ghost great performance movie godfather every stare el pacino godfather story music music taking another world making feel like around mafia gang say movie family
"I must admit, i've never watched the Godfather until now (1 month ago) and as a movie fan i always was ashamed about this. Now i've seen it and might have an unpopular opinion about it.

The acting is quite good and the actors also became legends of the Business. The love to little Details is good.

But i never get into it.

The plot is ok but i wanted more.

I wanted to go deeper into the ""why"" and what characters like Michael really think. Why they behave like they do.

They just ""looked"" and there was silence.

I always was waiting for the catchy moment which will make me feel in love with this so called ""masterpiece"". But it didn't happened and i watched it in 3 parts because i was nearly ""bored"".

I was neither surprised about twists, not emotional and not catched by the story. It was just there.

The characters are all not so relatable, i didn't felt their feelings.

Like robots. You can change theme and you wouldn't even recognize it. If person A,B,C or D gets murdered it doesn't matter.

For me: Yes, you can watch it, but for me it is not the masterpiece it should be regarding the reviews.

I still need to watch Part 2 and 3. I have it on my list since 1 month, but i didn't do it...that says a lot for myself.",must admit ive never watched godfather month ago movie fan always ashamed ive seen might unpopular opinion acting quite good actor also became legend business love little detail good never get plot ok wanted wanted go deeper character like michael really think behave like looked silence always waiting catchy moment make feel love called masterpiece didnt happened watched part nearly bored neither surprised twist emotional catched story character relatable didnt felt feeling like robot change theme wouldnt even recognize person abc get murdered doesnt matter yes watch masterpiece regarding review still need watch part list since month didnt itthat say lot
"I was finally forced to watch this 'masterpiece'. What, exactly, is the redeeming feature of this movie that all these film 'elites' love so much.

It was a long, boring, tedious experience I would never want to repeat. Watching old men convince young men to kill other old men was pointless. Was there an actual point to the story? Or was it crafted just to sell the next installment.

This movie has no business being so well-liked and shows what is wrong with both American cimema and the IMDB ranking system.",finally forced watch masterpiece exactly redeeming feature movie film elite love much long boring tedious experience would never want repeat watching old men convince young men kill old men pointless actual point story crafted sell next installment movie business wellliked show wrong american cimema imdb ranking system
"The directing by Coppola was perfect as well. Not many movies can be 3 hours and yet maintain a good level of interest from the audience like The Godfather. Coppola deserves credit for this. The symbolism and messages that went into every scene also has to do with the directing not just the writing. The movie is so well edited and strung together that the only word that could come to my mind is perfection.

The cinematography and music were perfect. The score of this movie is one of the most memorable ever. If you were to hear it you could identify it right away. The cinematography was what actually really drove this movie. The Godfather seems to have this mystique to it, it gives you the feeling you are watching something truly remarkable.",directing coppola perfect well many movie hour yet maintain good level interest audience like godfather coppola deserves credit symbolism message went every scene also directing writing movie well edited strung together word could come mind perfection cinematography music perfect score movie one memorable ever hear could identify right away cinematography actually really drove movie godfather seems mystique give feeling watching something truly remarkable
"This movie is strong, good script, great casting, excellent acting, and over the top directing. It is hard to fine a movie done this well, it is 29 years old and has aged well. Even if the viewer does not like mafia type of movies, he or she will watch the entire film, the audiences is glued to what will happen next as the film progresses. Its about, family, loyalty, greed, relationships, and real life. This is a great mix, and the artistic style make the film memorable.",movie strong good script great casting excellent acting top directing hard fine movie done well year old aged well even viewer like mafia type movie watch entire film audience glued happen next film progress family loyalty greed relationship real life great mix artistic style make film memorable
"The godfather trilogy is an exclusive set of movies that will continue to live with humanity, every generation will see them to say, ""Oh that was 10 out of 10."" If you watch them you will know that the world that lives inside the underworld is same as the one we live in except that people in underworld are so smart, in fact smartness is the only thing that can keep them there. Don Vito Caroleone's early life shown in part-II is very well done to show the Don in making, how a kid who couldn't even tell his name went on becoming a underworld don who keep most senators, judges and lawyers in his pocket. Meeting of don with the so call five families are among most impressive scenes.

A saga that goes on for 9 continuous hours takes you around various walks in life of Mike (Don's younger son who become Don later), his school days, love life, personal life, family life, business life, political life and religious life. How all of these different roles Mike plays in his life and how intertwined these are.

I enjoyed watching these movies so much, I wish I had seen them much before then I did. Its amazing to see how the Part-III was made 18 years later the part-I was made and everything looks so continuous if watch them together.

I need not say much! The Godfather father trilogy been around for a while and everyone knows that they are great set of movies, its just the matter of when you actually get to see them.

Watch them! Kudos to Francis Ford Coppola! -Vishy",godfather trilogy exclusive set movie continue live humanity every generation see say oh watch know world life inside underworld one live except people underworld smart fact smartness thing keep vito caroleones early life shown partii well done show making kid couldnt even tell name went becoming underworld keep senator judge lawyer pocket meeting call five family among impressive scene saga go continuous hour take around various walk life mike don younger son become later school day love life personal life family life business life political life religious life different role mike play life intertwined enjoyed watching movie much wish seen much amazing see partiii made year later parti made everything look continuous watch together need say much godfather father trilogy around everyone know great set movie matter actually get see watch kudos francis ford coppola vishy
"Alright, this movie is simply perfect. I don't have one bad thing to say about it honestly. Phenomenal acting from few of Hollywood's greatest talents. Al Pacino gives a career defying performance in The Godfather along side Marlon Brando, James Caan, Robert Duvall and a young Diane Keaton. This movie is simply perfect. This adaptation of Mario Puzo's book tells the tale of an immigrant living the American Dream. But even though all of the starts were absolutely phenomenal in their individual roles only one remains more iconic than the others--Marlon Brando as Don Vito. Fans of the movie will come back and watch it again and again to witness Brando in his absolute finest.",alright movie simply perfect dont one bad thing say honestly phenomenal acting hollywood greatest talent al pacino give career defying performance godfather along side marlon brando james caan robert duvall young diane keaton movie simply perfect adaptation mario puzos book tell tale immigrant living american dream even though start absolutely phenomenal individual role one remains iconic othersmarlon brando vito fan movie come back watch witness brando absolute finest
"First I have to say that it is very difficult to watch this movie for the first time (which I just did) and approach it with an open mind. The glowing reviews it gets everywhere (many of course calling it the best movie ever made) gives one extremely high expectations and the possibility of being easily disappointed. The many parodies of the movie also give it a cult status that makes one think one knows the story even if one has never seen it.

I thought ""The Godfather"" was a good movie, but nothing more than that really. I personally wouldn't call it the greatest movie ever made; not even one of the greatest. It was good, worth watching once and I'm glad I've finally seen it, but nothing more.

The portrayal of mob life in the post-war era seemed realistic enough, and the appropriate atmosphere was set. The opening scenes (revolving around Don Corleone's daughter's wedding) gave me mixed feelings. I thought the whole thing went on too long, but it did demonstrate that Corleone's ""business"" never ended - he was constantly meeting with various people looking for favours rather than being front and centre at the wedding. Brando, of course, won (and refused to accept) the Oscar for Best Actor for his portrayal of Corleone, but I wasn't actually taken with his performance. First, I really didn't think of him as the Lead Actor. Al Pacino (as Corleone's son Mike) was, I thought, far more important to the story and far more interesting to watch. Brando had - to me - an almost cartoonish aura around him. Over-rated in my view. But Pacino was excellent, and the character of Mike the most interesting in the movie, as he evolves from the returned war hero who wants nothing to do with the family ""business"" to the eventual ""Don.""

It's not that I thought this was a bad movie. It was quite watchable and for the most part very interesting. I just think I've seen better.

6/10",first say difficult watch movie first time approach open mind glowing review get everywhere many course calling best movie ever made give one extremely high expectation possibility easily disappointed many parody movie also give cult status make one think one know story even one never seen thought godfather good movie nothing really personally wouldnt call greatest movie ever made even one greatest good worth watching im glad ive finally seen nothing portrayal mob life postwar era seemed realistic enough appropriate atmosphere set opening scene revolving around corleones daughter wedding gave mixed feeling thought whole thing went long demonstrate corleones business never ended constantly meeting various people looking favour rather front centre wedding brando course refused accept oscar best actor portrayal corleone wasnt actually taken performance first really didnt think lead actor al pacino corleones son mike thought far important story far interesting watch brando almost cartoonish aura around overrated view pacino excellent character mike interesting movie evolves returned war hero want nothing family business eventual thought bad movie quite watchable part interesting think ive seen better
"'The Godfather' is one of the most well-known films of all time, and its popularity has made it a legend. It is the ultimate Mafia film. The film crops up in everyday conversation: the memorable scene with the horse's severed head and the dead of the Mafia man in the tomato garden while he is chasing the little boy around. It's one of those films that some consider the best film ever made -- that is, by some people but not by me. While I thought that some of the scenes and story were done brilliantly, some of the film was difficult to follow. I've seen much better films that 'The Godfather', and despite some of the good scenes and the photography, I would only classify it as an average film. Good, and it probably could not have any better, but it just failed to really inspire me as a film.",godfather one wellknown film time popularity made legend ultimate mafia film film crop everyday conversation memorable scene horse severed head dead mafia man tomato garden chasing little boy around one film consider best film ever made people thought scene story done brilliantly film difficult follow ive seen much better film godfather despite good scene photography would classify average film good probably could better failed really inspire film
"One of the best and most complete movies ever. It has absolutely everything, great directing, acting, storytelling and atmosphere.

This is not just a story about crime but also a story about family, about good and evil and about how easy it is to succumb to temptation. The film that left a deep mark in film art and I would dare say, in art in general.

The cast is exceptional, and Marlon Brando's acting performance is particularly impressive.

The characters are fascinating, layered, and the cast really embodied them perfectly. The subtle details with which the director slowly builds the story and atmosphere are excellent.

The direction and cinematography are brilliant, everything in the film makes sense and has its place, a truly fascinating film work. This is a truly remarkable story told in the best possible way.

A powerful and unforgettable film achievement.",one best complete movie ever absolutely everything great directing acting storytelling atmosphere story crime also story family good evil easy succumb temptation film left deep mark film art would dare say art general cast exceptional marlon brandos acting performance particularly impressive character fascinating layered cast really embodied perfectly subtle detail director slowly build story atmosphere excellent direction cinematography brilliant everything film make sense place truly fascinating film work truly remarkable story told best possible way powerful unforgettable film achievement
"The Godfather is a strong contender for the best film ever made. I'd argue that it is the ultimate gangster movie.

Don't worry about the nearly three-hour runtime; you won't even notice the time passing, it flies by.

The production values are astounding, with a visual appeal that remains impressive throughout. At around fifty years old, it outshines many modern films.

With performances by Brando, Pacino, and Castellano, among others, the acting is phenomenal.

If you're considering a hard copy, I recommend the Blu-ray version; it's sharper than the DVD, and the difference is noticeable.

This film has had a significant influence over the years and will always be one of the greatest. 10/10.",godfather strong contender best film ever made id argue ultimate gangster movie dont worry nearly threehour runtime wont even notice time passing fly production value astounding visual appeal remains impressive throughout around fifty year old outshines many modern film performance brando pacino castellano among others acting phenomenal youre considering hard copy recommend bluray version sharper dvd difference noticeable film significant influence year always one greatest
WILL FOR SURE WATCH AGAIN FRANCIS WAS GREAT IN THIS AND COULDNT HAVE ASKED FOR A BETTER MOVIEWILL FOR SURE WATCH AGAIN FRANCIS WAS GREAT IN THIS AND COULDNT HAVE ASKED FOR A BETTER MOVIEWILL FOR SURE WATCH AGAIN FRANCIS WAS GREAT IN THIS AND COULDNT HAVE ASKED FOR A BETTER MOVIE.,sure watch francis great couldnt asked better moviewill sure watch francis great couldnt asked better moviewill sure watch francis great couldnt asked better movie
"AL Pacino, Marlon Brando, I could go on all day but we would be here for 3 hours, and instead of that you could just see for yourselves how good this movie and actors are. Story 10/10 Acting 10/10 Timeless classic.",al pacino marlon brando could go day would hour instead could see good movie actor story acting timeless classic
